instance,10,50,100,200,300,400,1000
poland_warszawa_2022_rembertow.pb,0.0,9.125644666994725e-08,5.593345939158368e-07,7.110762500444169e-06,1.7748794328789414e-05,2.492742820331563e-05,9.999346798265791e-06
