instance,10,50,100,200,300,400,1000
netherlands_amsterdam_166_.pb,0.0,1.0990132795265104e-10,1.2719192166981408e-09,5.356657795159297e-08,7.207512175237301e-07,2.8594298666512775e-06,0.00012603827606844472
